clf	task	method	accuracy	recall1	recall0	recall_macro	precision1	precision0	precision_macro	f1score1	f1score0	f1score_macro	mcc	spd	aod	eod	erd	
lr	Bank-Age	roc1	0.89	0.2	0.99	0.59	0.73	0.9	0.81	0.31	0.94	0.62	0.34	0.05	0.06	0.1	0.06	
lr	Bank-Age	fairway	0.9	0.49	0.96	0.72	0.65	0.93	0.79	0.55	0.94	0.75	0.51	0.09	0.06	0.09	0.06	
lr	Bank-Age	fairsmote	0.89	0.2	0.98	0.59	0.64	0.9	0.77	0.3	0.94	0.62	0.31	0.26	0.34	0.52	0.09	
lr	Bank-Age	FairMask	0.9	0.41	0.97	0.69	0.66	0.92	0.79	0.5	0.94	0.72	0.47	0.09	0.07	0.11	0.06	
lr	Bank-Age	maat	0.9	0.41	0.97	0.69	0.66	0.92	0.79	0.5	0.94	0.72	0.47	0.05	0.03	0.04	0.06	
lr	Bank-Age	fitness_f	0.9	0.39	0.97	0.68	0.67	0.92	0.79	0.5	0.94	0.72	0.46	0.04	0.03	0.04	0.06	
lr	Mep-Race	default	0.86	0.4	0.96	0.68	0.68	0.89	0.78	0.5	0.92	0.71	0.45	0.12	0.11	0.18	0.08	
lr	Mep-Race	rw	0.86	0.36	0.96	0.66	0.67	0.88	0.78	0.47	0.92	0.7	0.43	0.04	0.02	0.04	0.09	
lr	Mep-Race	dir	0.86	0.39	0.96	0.68	0.68	0.88	0.78	0.5	0.92	0.71	0.44	0.09	0.06	0.09	0.08	
lr	Mep-Race	lfr	0.83	0.05	0.99	0.52	0.51	0.83	0.67	0.08	0.91	0.49	0.1	0.01	0.01	0.01	0.12	
lr	Mep-Race	ceo1	0.85	0.26	0.97	0.62	0.67	0.86	0.76	0.38	0.92	0.65	0.35	0.02	0.04	0.08	0.11	
lr	Mep-Race	eo	0.84	0.32	0.95	0.64	0.59	0.87	0.73	0.41	0.91	0.66	0.35	0.04	0.02	0.03	0.08	
lr	Mep-Race	ad	0.85	0.4	0.94	0.67	0.59	0.88	0.74	0.47	0.91	0.69	0.4	0.05	0.03	0.04	0.09	
lr	Mep-Race	pr	0.84	0.17	0.99	0.58	0.75	0.85	0.8	0.27	0.91	0.59	0.31	0.03	0.01	0.01	0.11	
lr	Mep-Race	mfc1	0.81	0.71	0.83	0.77	0.47	0.93	0.7	0.56	0.88	0.72	0.46	0.18	0.1	0.08	0.09	
lr	Mep-Race	roc1	0.78	0.72	0.79	0.76	0.42	0.93	0.68	0.53	0.86	0.69	0.43	0.04	0.04	0.05	0.01	
lr	Mep-Race	fairway	0.86	0.38	0.96	0.67	0.68	0.88	0.78	0.49	0.92	0.71	0.44	0.11	0.1	0.16	0.08	
lr	Mep-Race	fairsmote	0.86	0.36	0.96	0.66	0.66	0.88	0.77	0.47	0.92	0.69	0.42	0.16	0.19	0.3	0.08	
lr	Mep-Race	FairMask	0.86	0.41	0.96	0.68	0.67	0.89	0.78	0.5	0.92	0.71	0.45	0.09	0.07	0.1	0.08	
lr	Mep-Race	maat	0.86	0.35	0.97	0.66	0.69	0.88	0.78	0.47	0.92	0.69	0.43	0.07	0.04	0.06	0.08	
lr	Mep-Race	fitness_f	0.86	0.37	0.96	0.67	0.67	0.88	0.78	0.48	0.92	0.7	0.43	0.05	0.02	0.02	0.09	
rf	Adult-Sex	default	0.84	0.62	0.91	0.77	0.7	0.88	0.79	0.66	0.9	0.78	0.56	0.19	0.08	0.08	0.12	
rf	Adult-Sex	rw	0.84	0.61	0.92	0.76	0.71	0.88	0.79	0.66	0.9	0.78	0.56	0.18	0.07	0.07	0.12	
rf	Adult-Sex	dir	0.84	0.55	0.94	0.74	0.75	0.86	0.81	0.63	0.9	0.76	0.54	0.15	0.06	0.06	0.12	
rf	Adult-Sex	lfr	0.8	0.46	0.91	0.69	0.63	0.84	0.73	0.53	0.87	0.7	0.42	0.16	0.12	0.16	0.13	
rf	Adult-Sex	ceo1	0.84	0.61	0.91	0.76	0.7	0.88	0.79	0.65	0.9	0.78	0.55	0.19	0.08	0.06	0.12	
rf	Adult-Sex	eo	0.84	0.62	0.91	0.76	0.69	0.88	0.78	0.65	0.89	0.77	0.55	0.18	0.08	0.09	0.1	
rf	Adult-Sex	ad	
rf	Adult-Sex	pr	0.76	0.05	1.0	0.52	0.98	0.76	0.87	0.09	0.86	0.48	0.18	0.01	0.02	0.04	0.19	
rf	Adult-Sex	mfc1	
rf	Adult-Sex	roc1	0.78	0.71	0.8	0.75	0.54	0.89	0.71	0.61	0.84	0.73	0.47	0.06	0.2	0.26	0.07	
